Wavelength,Intensity
562.037000,5331
561.888000,5319
561.739000,5279
561.590000,5306
561.440000,5147
561.291000,5255
561.142000,5400
560.993000,5394
560.843000,5474
560.694000,5706
560.545000,5690
560.396000,5329
560.247000,5126
560.097000,5271
559.948000,5455
559.799000,5474
559.650000,5430
559.500000,5306
559.351000,5241
559.202000,5323
559.053000,5148
558.904000,5244
558.754000,5233
558.605000,5223
558.456000,5160
558.307000,5134
558.157000,5226
558.008000,5229
557.859000,5252
557.710000,5260
557.560000,5097
557.411000,5196
557.262000,5257
557.113000,5336
556.964000,5294
556.814000,5234
556.665000,5228
556.516000,5112
556.367000,5343
556.217000,5218
556.068000,4967
555.919000,5011
555.770000,5162
555.621000,5240
555.471000,5214
555.322000,5305
555.173000,5285
555.024000,5331
554.874000,5610
554.725000,5388
554.576000,5153
554.427000,5213
554.277000,5254
554.128000,5273
553.979000,5287
553.830000,5120
553.681000,5010
553.531000,5211
553.382000,5448
553.233000,5295
553.084000,5173
552.934000,5219
552.785000,5214
552.636000,5168
552.487000,5230
552.338000,5384
552.188000,5284
552.039000,5400
551.890000,5350
551.741000,5268
551.591000,5229
551.442000,5308
551.293000,5371
551.144000,5215
550.994000,5271
550.845000,5331
550.696000,5421
550.547000,5314
550.398000,5258
550.248000,5321
550.099000,5363
549.950000,5331
549.801000,5242
549.651000,5492
549.502000,5453
549.353000,5398
549.204000,5460
549.055000,5379
548.905000,5298
548.756000,5216
548.607000,5393
548.458000,5385
548.308000,5425
548.159000,5363
548.010000,5405
547.861000,5385
547.712000,5263
547.562000,5375
547.413000,5485
547.264000,5295
547.115000,5343
546.965000,5557
546.816000,5480
546.667000,5557
546.518000,5483
546.368000,5415
546.219000,5392
546.070000,5265
545.924000,5269
545.777000,5553
545.631000,5441
545.484000,5227
545.338000,4986
545.192000,5102
545.045000,5287
544.899000,5444
544.753000,5510
544.606000,5378
544.460000,5401
544.313000,5371
544.167000,5380
544.021000,5327
543.874000,5229
543.728000,5270
543.581000,5200
543.435000,5271
543.289000,5252
543.142000,5124
542.996000,5286
542.849000,5541
542.703000,5483
542.557000,5248
542.410000,5115
542.264000,5198
542.118000,5390
541.971000,5325
541.825000,5204
541.678000,5269
541.532000,5355
541.386000,5438
541.239000,5468
541.093000,5505
540.946000,5412
540.800000,5395
540.654000,5460
540.507000,5314
540.361000,5294
540.214000,5266
540.068000,5331
539.922000,5414
539.775000,5262
539.629000,5226
539.483000,5328
539.336000,5150
539.190000,5381
539.043000,5540
538.897000,5396
538.751000,5269
538.604000,5346
538.458000,5274
538.311000,5265
538.165000,5295
538.019000,5256
537.872000,5322
537.726000,5374
537.580000,5517
537.433000,5383
537.287000,5326
537.140000,5174
536.994000,5161
536.848000,5260
536.701000,5299
536.555000,5220
536.408000,5247
536.262000,5143
536.116000,5245
535.969000,5375
535.823000,5276
535.676000,5379
535.530000,5255
535.384000,5073
535.237000,5145
535.091000,5435
534.945000,5446
534.798000,5460
534.652000,5191
534.505000,5422
534.359000,5390
534.213000,5236
534.066000,5267
533.920000,5468
533.773000,5362
533.627000,5216
533.481000,5419
533.334000,5398
533.188000,5244
533.041000,5289
532.895000,5394
532.749000,5281
532.602000,5396
532.456000,5559
532.310000,5445
532.163000,5364
532.017000,5163
531.870000,5032
531.724000,5223
531.578000,5248
531.431000,5248
531.285000,5222
531.138000,5096
530.992000,5117
530.846000,5305
530.699000,5270
530.553000,5280
530.407000,5373
530.260000,5202
530.114000,5146
529.967000,5176
529.821000,5168
529.675000,5115
529.528000,5103
529.382000,4960
529.235000,4985
529.089000,5266
528.943000,5323
528.796000,5466
528.650000,5411
528.503000,5286
528.357000,5343
528.211000,5334
528.064000,5313
527.918000,5343
527.772000,5351
527.625000,5593
527.479000,5581
527.332000,5391
527.186000,5283
527.040000,5169
526.893000,5189
526.747000,5186
526.600000,5407
526.454000,5310
526.308000,5261
526.161000,5306
526.015000,5353
525.868000,5581
525.722000,5381
525.576000,5253
525.429000,5128
525.283000,5259
525.137000,5294
524.990000,5216
524.844000,5353
524.697000,5352
524.551000,5326
524.405000,5450
524.258000,5336
524.112000,5388
523.965000,5572
523.819000,5653
523.673000,5674
523.526000,5294
523.380000,5288
523.234000,5363
523.087000,5229
522.941000,5190
522.794000,5198
522.648000,5293
522.502000,5326
522.355000,5258
522.209000,5238
522.062000,5486
521.916000,5467
521.770000,5195
521.623000,5307
521.477000,5184
521.330000,5142
521.184000,5437
521.038000,5318
520.891000,5336
520.745000,5332
520.599000,5200
520.452000,5212
520.306000,5337
520.159000,5282
520.013000,5167
519.867000,5323
519.720000,5279
519.574000,5128
519.427000,5154
519.281000,5365
519.135000,5152
518.988000,5126
518.842000,5243
518.695000,5147
518.549000,5228
518.403000,5240
518.256000,5381
518.110000,5367
517.964000,5220
517.817000,5346
517.671000,5165
517.524000,5096
517.378000,5266
517.232000,5366
517.085000,5370
516.939000,5317
516.792000,5389
516.646000,5328
516.500000,5336
516.353000,5259
516.207000,5363
516.061000,5148
515.914000,5094
515.768000,5396
515.621000,5452
515.475000,5354
515.329000,5275
515.182000,5277
515.036000,5276
514.889000,5395
514.743000,5362
514.597000,5190
514.450000,5103
514.304000,5210
514.157000,5415
514.011000,5292
513.865000,5200
513.718000,5114
513.572000,5244
513.426000,5476
513.279000,5550
513.133000,5271
512.986000,5103
512.840000,5026
512.694000,4912
512.547000,5003
512.401000,5071
512.254000,5141
512.108000,5165
511.962000,5387
511.815000,5611
511.669000,5459
511.522000,5256
511.376000,5341
511.230000,5145
511.083000,5338
510.937000,5508
510.791000,5548
510.644000,5468
510.498000,5403
510.351000,5663
510.205000,5494
510.059000,5211
509.912000,5306
509.766000,5314
509.619000,5385
509.473000,5336
509.327000,5372
509.180000,5237
509.034000,5296
508.887000,5333
508.741000,5281
508.595000,5255
508.448000,5243
508.302000,5405
508.156000,5308
508.009000,5444
507.863000,5555
507.716000,5393
507.570000,5392
507.424000,5307
507.277000,5460
507.131000,5270
506.984000,5124
506.838000,5141
506.692000,5137
506.545000,5140
506.399000,5113
506.253000,5112
506.106000,5264
505.960000,5340
505.813000,5417
505.667000,5450
505.521000,5305
505.374000,5500
505.228000,5375
505.081000,5313
504.935000,5348
504.789000,5282
504.642000,5283
504.496000,5341
504.349000,5390
504.203000,5371
504.057000,5304
503.910000,5387
503.764000,5219
503.618000,4958
503.471000,5099
503.325000,5309
503.178000,5376
503.032000,5384
502.886000,5347
502.739000,5320
502.593000,5263
502.446000,5131
502.300000,5113
502.154000,5204
502.007000,5232
501.861000,5445
501.714000,5309
501.568000,5320
501.422000,5300
501.275000,5328
501.129000,5262
500.983000,5147
500.836000,5341
500.690000,5242
500.543000,5175
500.397000,5208
500.251000,5290
500.104000,5435
499.958000,5179
499.811000,5224
499.665000,5248
499.519000,5252
499.372000,5120
499.226000,5191
499.080000,5296
498.933000,5141
498.787000,5095
498.640000,5356
498.494000,5352
498.348000,5311
498.201000,5146
498.055000,5220
497.908000,5512
497.762000,5523
497.616000,5256
497.469000,5472
497.323000,5466
497.176000,5439
497.030000,5339
496.884000,5450
496.737000,5467
496.591000,5309
496.445000,5097
496.298000,5170
496.152000,5296
496.005000,5420
495.859000,5313
495.713000,5271
495.566000,5350
495.420000,5244
495.273000,5131
495.127000,5187
494.981000,5175
494.834000,5527
494.688000,5472
494.541000,5267
494.395000,5304
494.249000,5228
494.102000,5319
493.956000,5228
493.810000,5159
493.663000,5355
493.517000,5343
493.370000,5257
493.224000,5088
493.078000,5144
492.931000,5182
492.785000,5352
492.638000,5381
492.492000,5251
492.346000,5251
492.199000,5112
492.053000,5182
491.907000,5247
491.760000,5103
491.614000,5329
491.467000,5353
491.321000,5245
491.175000,5339
491.028000,5347
490.882000,5285
490.735000,5225
490.589000,5534
